"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",100.743843261856,NA,NA,NA,NA,NA,NA,NA,NA
"3",100.352474050929,NA,NA,NA,NA,NA,NA,NA,NA
"4",99.4535103601028,NA,NA,NA,NA,NA,NA,NA,NA
"5",100.293744343654,NA,NA,NA,NA,NA,NA,NA,NA
"6",98.6657364829248,NA,NA,NA,NA,NA,NA,NA,NA
"7",98.4777795919559,NA,NA,NA,NA,NA,NA,NA,NA
"8",98.6070128056087,NA,NA,NA,NA,NA,NA,NA,NA
"9",98.3546100280514,NA,NA,NA,NA,NA,NA,NA,NA
"10",99.1337150976436,NA,NA,NA,NA,NA,NA,NA,NA
"11",99.0863879072552,99.0379256539761,98.2772294442326,98.9791948438239,98.631914326514,0.00234858999288468,0.65473741828107,0.011490352847792,0.206546235591787
"12",98.1793872371483,98.9954870396084,98.4114458978413,97.6875550650661,97.0130937068005,0.666018887575393,0.0538512220026418,0.241898885495065,1.36024059893097
"13",97.3679784555662,98.0155297520699,98.1076251820861,96.8863586487484,95.989132080641,0.41932268160365,0.547077280051657,0.23195763831915,1.9012173256443
"14",96.7349078916214,97.1517958107403,96.8379597675816,99.2530447349204,97.9933217757207,0.173795537107304,0.0106196891389174,6.3410131615798,1.58360550369388
"15",98.7246892281169,96.4882077594374,94.5847684282913,96.7067263630854,98.0398820714502,5.00184935974662,17.1389442288284,4.07217412464594,0.46896084182196
"16",99.8707008584049,98.6342204271062,100.799617329512,99.468057830488,99.4912324035599,1.52888385698466,0.862885810293779,0.162121407930131,0.143996308222428
"17",100.551906497123,99.8620868622976,100.735199926391,99.1249090648238,99.0078795811924,0.475851128590978,0.0335964812128981,2.03632167178921,2.38401911711904
"18",100.726136448227,100.586501616205,101.353741165888,101.853603462477,101.478910767489,0.0194978863137399,0.393887681631218,1.27118186822255,0.566669175740264
"19",100.679666198026,100.769014187211,100.589111257415,102.125829056012,102.209829706621,0.00798306317142839,0.00820019726915693,2.09138701181896,2.34140036303449
"20",101.817521347842,100.71756058956,100.981470938479,101.24033611265,101.483940060942,1.20991366976021,0.698980286995774,0.333142795723633,0.11127647496967
"21",103.136491821939,101.914090224856,102.892044630739,102.957497613097,102.99521524934,1.49426566455081,0.0597544292856297,0.0320389267988562,0.0199590699653357
"22",102.688648641483,103.295873514474,104.303960626179,103.61759436878,103.099500979469,0.368722046378467,2.60923280790072,0.862940164262729,0.168799643627897
"23",103.980257267677,102.818467447643,102.711655222106,103.059579738682,102.827811027921,1.34975558593421,1.60935115002574,0.847647112396104,1.32813233552706
