"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",102.375048470027,NA,NA,NA,NA,NA,NA,NA,NA
"3",105.01478060515,NA,NA,NA,NA,NA,NA,NA,NA
"4",108.887020102893,NA,NA,NA,NA,NA,NA,NA,NA
"5",113.776586580958,NA,NA,NA,NA,NA,NA,NA,NA
"6",118.185220536675,NA,NA,NA,NA,NA,NA,NA,NA
"7",124.696290323717,NA,NA,NA,NA,NA,NA,NA,NA
"8",129.917622718943,NA,NA,NA,NA,NA,NA,NA,NA
"9",133.974900883237,NA,NA,NA,NA,NA,NA,NA,NA
"10",137.729891486248,NA,NA,NA,NA,NA,NA,NA,NA
"11",141.039458447022,142.717024875391,141.867699754296,139.952982001862,139.73138432322,2.81422912158797,0.685983663074754,1.180431065889,1.71105791336004
"12",144.79685687598,145.973726437746,146.066864278078,144.487704287043,143.915295127383,1.38502196541126,1.61291880138357,0.0955753232465703,0.777151116590091
"13",148.46143482847,149.752334535774,149.960757860371,147.335754770631,146.740964106376,1.66642205431746,2.24796955398876,1.2671555926148,2.96001950558013
"14",148.68206349233,153.431592018448,152.436034278061,150.630283525121,148.432794676696,22.5580212204098,14.0922966601275,3.79556129616916,0.0621349424475896
"15",148.607969924981,153.28838188915,149.28763306094,148.781335477534,148.644468906543,21.9062561543405,0.461941978381589,0.0300556148121183,0.0013321756550698
"16",150.658330452859,152.873012220427,148.533585754873,150.803390296134,150.993156658021,4.90481533159716,4.51454003162307,0.0210423581309572,0.112108587662702
"17",151.046374753049,154.831513977176,152.289420026359,151.09323388987,151.217491321687,14.3272789460238,1.54516155149855,0.00219577870360506,0.0292808800623796
"18",154.869804300425,154.990364785318,151.650389253152,154.690599154873,155.065270320393,0.014534830517592,10.3646332466069,0.0321144841922028,0.0382069649620064
"19",156.876957250443,158.906354390355,157.801917491141,156.856505776653,156.953599953665,4.11845275148113,0.855551446871837,0.000418262780205895,0.00587410395714171
"20",158.173429262371,160.850922097408,159.559715985224,158.07760398895,158.125912250567,7.16896788167516,1.9217908779595,0.00918248302603768,0.00225786641077511
"21",160.647703656978,162.03701813118,159.779713052993,159.280962434934,159.282106116226,1.93019470822891,0.753407688606281,1.86798156803261,1.86485664330649
"22",161.390192444825,164.500888540914,162.820485422863,162.434307869744,161.714591387256,9.67643020222556,2.04573800302517,1.09017702055414,0.105234673850611
"23",166.302356985567,165.111016396621,162.674253851314,167.416490748976,167.869378626142,1.41929239887147,13.1631323527803,1.24129404276676,2.45555682202985
