"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",100.301537089842,NA,NA,NA,NA,NA,NA,NA,NA
"3",100.903798683803,NA,NA,NA,NA,NA,NA,NA,NA
"4",101.038468644933,NA,NA,NA,NA,NA,NA,NA,NA
"5",103.663385748504,NA,NA,NA,NA,NA,NA,NA,NA
"6",101.111773787381,NA,NA,NA,NA,NA,NA,NA,NA
"7",102.446525610428,NA,NA,NA,NA,NA,NA,NA,NA
"8",103.560431394504,NA,NA,NA,NA,NA,NA,NA,NA
"9",104.959520765959,NA,NA,NA,NA,NA,NA,NA,NA
"10",107.735280583716,NA,NA,NA,NA,NA,NA,NA,NA
"11",108.126579299449,108.630874202316,110.240259080227,107.235886312726,107.281764081808,0.254313349057897,4.46764221566997,0.793333996598164,0.713712751957569
"12",108.147089988908,108.974707053591,109.856785905283,106.363273051112,105.551384709523,0.684950005754288,2.92306012646988,3.18200286756725,6.73768589742857
"13",106.241746349489,108.919865399546,109.136097822442,102.889651229365,101.88712996456,7.17232164627794,8.37727044898194,11.2365416943585,18.9626838598928
"14",106.170243115077,106.779152000789,105.676507230868,108.632376497774,107.278936029577,0.370770031098576,0.243775123355645,6.06210079418938,1.22919997866067
"15",108.851940488395,106.660355811909,107.323188987832,107.742431436077,108.256850379052,4.80304339420906,2.33708115047364,1.2310103371767,0.354132238238174
"16",110.671780245346,109.513417269759,108.531166504274,111.269783928525,112.338360497889,1.34180478320865,4.58222718846305,0.357608405095601,2.77748973816624
"17",113.456134328872,111.422446249951,110.357089617777,109.622295149886,108.090216791717,4.13588720234239,9.60407812136574,14.698322850328,28.7930710155418
"18",115.679122798036,114.354887534889,113.399238864162,114.610693185566,115.334812592107,1.75359903216374,5.19787075193544,1.14154183680331,0.118549517907089
"19",115.741416210059,116.674478461109,116.554384031851,117.44824817194,118.196205421265,0.870605164336064,0.660916679269645,2.91327534609881,6.02599007145333
"20",117.080879495167,116.685246283436,117.257611309878,116.189103299863,116.30855064115,0.156525638224437,0.0312341343311303,0.795264782511595,0.596491858746824
"21",119.836195195517,118.056662440088,118.034214870171,118.441878449829,119.651876941684,3.16673682764398,3.24713309293482,1.94411918730507,0.0339732186960666
"22",117.02488613013,120.9253664918,120.430810142989,119.897284992453,118.969795022403,15.2137470517692,11.600318381364,8.2506752242733,3.78267059923924
"23",121.248612793958,117.904280222908,116.703767006683,115.974842150437,113.940350895415,11.1845603457846,20.6556232301115,27.8126568004615,53.4106919776851
