"","observed","cagr","ets","dynamic","growth_rate","cagr_se","ets_se","dynamic_se","growth_rate_se"
"1",100,NA,NA,NA,NA,NA,NA,NA,NA
"2",100.027050827674,NA,NA,NA,NA,NA,NA,NA,NA
"3",99.1504308393742,NA,NA,NA,NA,NA,NA,NA,NA
"4",100.890135007452,NA,NA,NA,NA,NA,NA,NA,NA
"5",106.438705923269,NA,NA,NA,NA,NA,NA,NA,NA
"6",104.622687100937,NA,NA,NA,NA,NA,NA,NA,NA
"7",110.616354569405,NA,NA,NA,NA,NA,NA,NA,NA
"8",109.050685062935,NA,NA,NA,NA,NA,NA,NA,NA
"9",114.615196999223,NA,NA,NA,NA,NA,NA,NA,NA
"10",118.554420379373,NA,NA,NA,NA,NA,NA,NA,NA
"11",113.594221341876,120.817775459081,118.325012674658,117.505235574051,114.87560824076,52.1797340841856,22.3803866343186,15.2960323242749,1.64195238463165
"12",115.454995360632,115.051388097669,114.196808173606,114.969675915575,113.231328784995,0.162898822715997,1.58303499759571,0.235534963749884,4.94469303960372
"13",121.177558876099,116.973265075708,115.268554050158,119.210327812907,116.456754485546,17.6760863600056,34.9163380329989,3.86999805599011,22.2859940938676
"14",113.806670124718,123.132883363831,121.569908029817,119.671513809054,117.975331072569,86.978253381418,60.2678627711697,34.3963914417021,17.3777340981458
"15",109.501617015524,114.944530328731,122.003112014021,109.444129928574,110.744769742472,29.6253053350903,156.287377197449,0.00330476516595327,1.54542870251863
"16",106.222218165664,110.213878250698,110.373603390605,105.833380064124,106.841332332202,15.9333502344539,17.2339992858547,0.151195069209687,0.383302351207124
"17",100.606641838527,106.650539655092,106.470176750062,104.399464990999,104.521309071965,36.5287008170731,34.3810416587892,14.3855074659237,15.3246195485526
"18",96.8453814919595,100.644678914722,100.607222024075,96.7390333674586,98.8065741222378,14.4346609066078,14.1514441890682,0.0113099235848583,3.8462765330581
"19",93.0133908464382,96.6629459670932,96.8457584465651,93.8710370446302,95.5347300203931,13.3192525786989,14.6870414225025,0.735557001273217,6.35715123011929
"20",87.6241590372476,92.6398842127659,93.0137754588754,91.6255674040516,92.8007140227633,25.1574990363281,29.0479651722792,16.0112689179288,26.7967215180672
"21",87.104137691116,87.0169919344571,83.3139197797113,71.6091104733646,80.8891862139352,0.00759438290365198,14.3657518159327,240.095868478856,38.6256218637122
"22",83.5367177148061,86.5049033003918,82.6269096806977,84.9579330235017,85.2328084654404,8.81012567047865,0.827750658928259,2.01985295367071,2.87672383438712
"23",81.5455568238945,82.8242064811978,81.0496510260504,81.1557395638398,81.7352330724396,1.63494494612175,0.245922560335368,0.151957496236541,0.0359770792621255
